Frame,Time,M Gaze,P1 Gaze,P2 Gaze,M ASR,P1 ASR,P2 ASR,
347,6.94,,,M,,,,
348,6.96,,,M,,,,
349,6.98,,,M,,,,
350,7,,,M,,,,
351,7.02,,,M,,,,
352,7.04,,,M,,,,
353,7.06,,,M,,,,
354,7.08,,,M,,,,
355,7.1,,,M,,,,
356,7.12,,,M,,,,
357,7.14,,,M,,,,
358,7.16,,,M,,,,
359,7.18,,,M,,,,
360,7.2,,,M,,,,
361,7.22,,,M,,,,
362,7.24,,,M,,,,
363,7.26,,,M,,,,
364,7.28,,,M,,,,
365,7.3,,,M,,,,
366,7.32,,,M,,,,
367,7.34,,,M,,,,
368,7.36,,,,,,,
369,7.38,,,,,,,
370,7.4,,,,,,,
371,7.42,,,,,,,
372,7.44,,,,,,,
373,7.46,,,,,,,
374,7.48,,,,,,,
375,7.5,,,,,,,
376,7.52,,,,,,,
377,7.54,,,,,,,
378,7.56,,,,,,,
379,7.58,,,,,,,
380,7.6,,,,,,,
381,7.62,,,,,,,
382,7.64,,,,,,,
383,7.66,,,,,,,
384,7.68,,,,,,,
385,7.7,,,,,,,
386,7.72,,,,,,,
387,7.74,,,,,,,
388,7.76,,,,,,,
389,7.78,,,,,,,
390,7.8,,,,,,,
391,7.82,,,,,,,
392,7.84,,,,,,,
393,7.86,,,,,,,
394,7.88,,,,,,,
395,7.9,,,,,,,
396,7.92,,,,,,,
397,7.94,,,,,,,
398,7.96,,,,,,,
399,7.98,,,,,,,
400,8,,,,,,,
401,8.02,,,,,,,
402,8.04,,,,,,,
403,8.06,,,,,,,
404,8.08,,,,,,,
405,8.1,,,,,,,
406,8.12,,,,,,,
407,8.14,,,,,,,
408,8.16,,,,,,,
409,8.18,,,,,,,
410,8.2,,,,,,,
411,8.22,,,,,,,
412,8.24,,,,,,,
413,8.26,,,,,,,
414,8.28,,,,,,,
415,8.3,,,,,,,
416,8.32,,,,,,,
417,8.34,,,,,,,
418,8.36,,,,,,,
419,8.38,,,,,,,
420,8.4,,,,,,,
421,8.42,,,,,,,
422,8.44,,,,,,,
423,8.46,,,,,,,
424,8.48,,,,,,,
425,8.5,,,,,,,
426,8.52,,,,,,,
427,8.54,,,,,,,
428,8.56,,,,,,,
429,8.58,,,,,,,
430,8.6,,,,,,,
431,8.62,,,,,,,
432,8.64,,,,,,,
433,8.66,,,,,,,
434,8.68,,,,,,,
435,8.7,,,,,,,
436,8.72,,,,,,,
437,8.74,,,,,,,
438,8.76,,,,,,,
439,8.78,,,,,,,
440,8.8,,,,,,,
441,8.82,,,,,,,
442,8.84,,,,,,,
443,8.86,,,,,,,
444,8.88,,,,,,,
445,8.9,,,,,,,
446,8.92,,,,,,,
447,8.94,,,,,,,
448,8.96,,,,,,,
449,8.98,,,,,,,
450,9,,,,,,,
451,9.02,,,,,,,
452,9.04,,,,,,,
453,9.06,,,,,,,
454,9.08,,,,,,,
455,9.1,,,,,,,
456,9.12,,,,,,,
457,9.14,,P2,,,,,
458,9.16,,P2,,,,,
459,9.18,,P2,,,,,
460,9.2,,P2,,,,,
461,9.22,,P2,,,,,
462,9.24,,P2,,,,,
463,9.26,,P2,,,,,
464,9.28,,P2,,,,,
465,9.3,,P2,,,,,
466,9.32,,P2,,,,,
467,9.34,,P2,,,,,
468,9.36,,P2,,,,,
469,9.38,,P2,,,,,
470,9.4,,P2,,,,,
471,9.42,,P2,,,,,
472,9.44,,P2,,,,,
473,9.46,,P2,,,,,
474,9.48,,P2,,,,,
475,9.5,,P2,,,,,
476,9.52,,P2,,,,,
477,9.54,,P2,,,,,
478,9.56,,P2,,,,,
479,9.58,,P2,,,,,
480,9.6,,P2,,,,,
481,9.62,,,,,,,
482,9.64,,,,,,,
483,9.66,,,,,,,
484,9.68,,,,,,,
485,9.7,,,,,,,
486,9.72,,,,,,,
487,9.74,,,,,,,
488,9.76,,,,,,,
489,9.78,,,,,,,
490,9.8,,,,,,,
491,9.82,,,,,,,
492,9.84,,,,,,,
493,9.86,,,,,,,
494,9.88,,,,,,,
495,9.9,,,,,,,
496,9.92,,,,,,,
497,9.94,,,,,,,
498,9.96,,,,,,,
499,9.98,,,,,,,
500,10,,,,,,,
501,10.02,,,,,,,
502,10.04,,,,,,,
503,10.06,,,,,,,
504,10.08,,,,,,,
505,10.1,,,,,,,
506,10.12,,,,,,,
507,10.14,,,,,,,
508,10.16,,,,,,,
509,10.18,,,,,,,
510,10.2,,,,,,,
511,10.22,,,,,,,
512,10.24,,,,,,,
513,10.26,,,,,,,
514,10.28,,,,,,,
515,10.3,,,,,,,
516,10.32,,,,,,,
517,10.34,,,,,,,
518,10.36,,,,,,,
519,10.38,,,,,,,
520,10.4,,,,,,,
521,10.42,,,,,,,
522,10.44,,,,,,,
523,10.46,,,,,,,
524,10.48,,,,,,,
525,10.5,,,,,,,
526,10.52,,,,,,,
527,10.54,,,,,,,
528,10.56,,,,,,,
529,10.58,,,,,,,
530,10.6,,,,,,,
531,10.62,,,,,,,
532,10.64,,,,,,,
533,10.66,,,,,,,
534,10.68,,,,,,,
535,10.7,,,,,,,
536,10.72,,,,,,,
537,10.74,,,,,,,
538,10.76,,,,,,,
539,10.78,,,,,,,
540,10.8,,,,,,,
541,10.82,,,,,,,
542,10.84,,,,,,,
543,10.86,,,,,,,
544,10.88,,,,,,,
545,10.9,,,,,,,
546,10.92,,,,,,,
547,10.94,,,,,,,
548,10.96,,,,,,,
549,10.98,,,,,,,
550,11,,,,,,,
551,11.02,,,,,,,
552,11.04,,,,,,,
553,11.06,,,,,,,
554,11.08,,,,,,,
555,11.1,,,,,,,
556,11.12,,,,,,,
557,11.14,,,,,,,
558,11.16,,,,,,,
559,11.18,,,,,,,
560,11.2,,,,,,,
561,11.22,,,,,,,
562,11.24,,,,,,,
563,11.26,,,,,,,
564,11.28,,,,,,,
565,11.3,,,,,,,
566,11.32,,,,,,,
567,11.34,,,,,,,
568,11.36,,,,,,,
569,11.38,,,,,,,
570,11.4,,,,,,,
571,11.42,,,,,,,
572,11.44,,,,,,,
573,11.46,,,,,,,
574,11.48,,,,,,,
575,11.5,,,,,,,
576,11.52,,,,,,,
577,11.54,,,,,,,
578,11.56,,,,,,,
579,11.58,,,,,,,
580,11.6,,,,,,,
581,11.62,,,,,,,
582,11.64,,,,,,,
583,11.66,,,,,,,
584,11.68,,,,,,,
585,11.7,,,,,,,
586,11.72,,,,,,,
587,11.74,,,,,,,
588,11.76,,,,,,,
589,11.78,,,,,,,
590,11.8,,,,,,,
591,11.82,,,,,,,
592,11.84,,,,,,,
593,11.86,,,,,,,
594,11.88,,,,,,,
595,11.9,,,,,,,
596,11.92,,,,,,,
597,11.94,,,,,,,
598,11.96,,,,,,,
599,11.98,,,,,,,
600,12,,,,,,,
601,12.02,,,,,,,
602,12.04,,,,,,,
603,12.06,,,,,,,
604,12.08,,,,,,,
605,12.1,,,,,,,
606,12.12,,,,,,,
607,12.14,,,,,,,
608,12.16,,,,,,,
609,12.18,,,,,,,
610,12.2,,,,,,,
611,12.22,,,,,,,
612,12.24,,,,,,,
613,12.26,,,,,,,
614,12.28,,,,,,,
615,12.3,,,,,,,
616,12.32,,,,,,,
617,12.34,,,,,,,
618,12.36,,,,,,,
619,12.38,,,,,,,
620,12.4,,,,,,,
621,12.42,,,,,,,
622,12.44,,,,,,,
623,12.46,,,,,,,
624,12.48,,,,,,,
625,12.5,,,,,,,
626,12.52,,,,,,,
627,12.54,,,,,,,
628,12.56,,,,,,,
629,12.58,,,,,,,
630,12.6,,,,,,,
631,12.62,,,,,,,
632,12.64,,,,,,,
633,12.66,,,,,,,
634,12.68,,,,,,,
635,12.7,,,,,,,
636,12.72,,,,,,,
637,12.74,,,,,,,
638,12.76,,,,,,,
639,12.78,,,,,,,
640,12.8,,,,,,,
641,12.82,,,,,,,
642,12.84,,,,,,,
643,12.86,,,,,,,
644,12.88,,,,,,,
645,12.9,,,,,,,
646,12.92,,,,,,,
647,12.94,,,,,,,
648,12.96,,,,,,,
649,12.98,,,,,,,
650,13,,,,,,,
651,13.02,,,,,,,
652,13.04,,,,,,,
653,13.06,,,,,,,
654,13.08,,,,,,,
655,13.1,,,,,,,
656,13.12,,,,,,,
657,13.14,,,,,,,
658,13.16,,,,,,,
659,13.18,,,,,,,
660,13.2,,,,,,,
661,13.22,,,,,,,
662,13.24,,,,,,,
663,13.26,,,,,,,
664,13.28,,,,,,,
665,13.3,,,,,,,
666,13.32,,,,,,,
667,13.34,,,,,,,
668,13.36,,,,,,,
669,13.38,,,,,,,
670,13.4,,,,,,,
671,13.42,,,,,,,
672,13.44,,,,,,,
673,13.46,,,,,,,
674,13.48,,,,,,,
675,13.5,,,,,,,
676,13.52,,,,,,,
677,13.54,,,,,,,
678,13.56,,,,,,,
679,13.58,,,,,,,
680,13.6,,,,,,,
681,13.62,,,,,,,
682,13.64,,,,,,,
683,13.66,,,,,,,
684,13.68,,,,,,,
685,13.7,,,,,,,
686,13.72,,,,,,,
687,13.74,,,,,,,
688,13.76,,,,,,,
689,13.78,,,,,,,
690,13.8,,,,,,,
691,13.82,,,,,,,
692,13.84,,,,,,,
693,13.86,,,,,,,
694,13.88,,,,,,,
695,13.9,,,,,,,
696,13.92,,,,,,,
697,13.94,,,,,,,
698,13.96,,,,,,,
699,13.98,,,,,,,
700,14,,,,,,,
701,14.02,,,,,,,
702,14.04,,,,,,,
703,14.06,,,,,,,
704,14.08,,,,,,,
705,14.1,,,,,,,
706,14.12,,,,,,,
707,14.14,,,,,,,
708,14.16,,,,,,,
709,14.18,,,,,,,
710,14.2,,,,,,,
711,14.22,,,,,,,
712,14.24,,,,,,,
713,14.26,,,,,,,
714,14.28,,,,,,,
715,14.3,,,,,,,
716,14.32,,,,,,,
717,14.34,,,,,,,
718,14.36,,,,,,,
719,14.38,,,,,,,
720,14.4,,,,,,,
721,14.42,,,,,,,
722,14.44,,,,,,,
723,14.46,,,,,,,
724,14.48,,,,,,,
725,14.5,,,,,,,
726,14.52,,,,,,,
727,14.54,,,,,,,
728,14.56,,,,,,,
729,14.58,P2,,,,,,
730,14.6,P2,,,,,,
731,14.62,P2,,,,,,
732,14.64,P2,,,,,,
733,14.66,P2,,,,,,
734,14.68,P2,,,,,,
735,14.7,P2,,,,,,
736,14.72,P2,,,,,,
737,14.74,P2,,,,,,
738,14.76,P2,,,,,,
739,14.78,P2,,,,,,
740,14.8,,,,,,,
