ID;URL;#Name;#Color;#Descriptive Color;#Color RGB;<img>;X;Y
300123;https://brickset.com/parts/300123;Brick 2X4;Blue;Bright Blue;1E5AA8;images/300123.jpg;0.652;0.14
300424;https://brickset.com/parts/300424;Brick 1X2;Yellow;Bright Yellow;FAC80A;images/300424.jpg;0.592;0.14
4121934;https://brickset.com/parts/4121934;Roof Tile 1X2/45°;Red;Bright Red;B40008;images/4121934.jpg;0.522;0.14
621528;https://brickset.com/parts/621528;Brick 2X3 W. Arch;Green;Dark Green;00852B;images/621528.jpg;0.462;0.14
300921;https://brickset.com/parts/300921;Brick 1X6;Red;Bright Red;B40003;images/300921.jpg;0.392;0.14
300124;https://brickset.com/parts/300124;Brick 2X4;Yellow;Bright Yellow;FAC80A;images/300124.jpg;0.312;0.14
6004943;https://brickset.com/parts/6004943;Brick 1X2;Blue;Dark Azur;469BC3;images/6004943.jpg;0.242;0.14
4521852;https://brickset.com/parts/4521852;Brick 2X2 W. Bow And Knobs;Red;Bright Red;B40010;images/4521852.jpg;0.652;0.2
4164022;https://brickset.com/parts/4164022;Brick 1X2;Green;Bright Yellowish Green;A5CA18;images/4164022.jpg;0.592;0.2
4118828;https://brickset.com/parts/4118828;Roof Tile 2X2/45°;Orange;Bright Orange;D67923;images/4118828.jpg;0.522;0.2
4121739;https://brickset.com/parts/4121739;Brick 1X2;Orange;Bright Orange;D67923;images/4121739.jpg;0.462;0.2
306541;https://brickset.com/parts/306541;Brick 1X2 Without Pin;Red;Transparent Red;B82700;images/306541.jpg;0.392;0.2
6061560;https://brickset.com/parts/6061560;Brick 2X2 Round Ii;Orange;Transparent Bright Orange;E18D0A;images/6061560.jpg;0.312;0.2
4211166;https://brickset.com/parts/4211166;Brick Ø16 W. Cross;Brown;Reddish Brown;5F3109;images/4211166.jpg;0.242;0.2
4181135;https://brickset.com/parts/4181135;Brick 2X6;Green;Dark Green;00852B;images/4181135.jpg;0.652;0.28
4153826;https://brickset.com/parts/4153826;Brick 2X3;Orange;Bright Orange;D67923;images/4153826.jpg;0.592;0.28
6073026;https://brickset.com/parts/6073026;Brick 1X1 W. 1 Knob;Green;Bright Yellowish Green;A5CA18;images/6073026.jpg;0.522;0.28
4216615;https://brickset.com/parts/4216615;Brick 2X6;Brown;Reddish Brown;5F3109;images/4216615.jpg;0.462;0.28
4262655;https://brickset.com/parts/4262655;Brick 1X1 - Tr;Orange;Transparent Bright Orange;E18D0A;images/4262655.jpg;0.392;0.28
303928;https://brickset.com/parts/303928;Roof Tile 2X2/45°;Green;Dark Green;00852B;images/303928.jpg;0.312;0.28
6056297;https://brickset.com/parts/6056297;Nose Cone 2X2X2;Red;Bright Red;B40006;images/6056297.jpg;0.242;0.28
621523;https://brickset.com/parts/621523;Brick 2X3 W. Arch;Blue;Bright Blue;1E5AA8;images/621523.jpg;0.652;0.34
303924;https://brickset.com/parts/303924;Roof Tile 2X2/45°;Yellow;Bright Yellow;FAC80A;images/303924.jpg;0.592;0.34
300521;https://brickset.com/parts/300521;Brick 1X1;Red;Bright Red;B40000;images/300521.jpg;0.522;0.34
4165967;https://brickset.com/parts/4165967;Brick 2X4;Green;Bright Yellowish Green;A5CA18;images/4165967.jpg;0.462;0.34
300121;https://brickset.com/parts/300121;Brick 2X4;Red;Bright Red;B40002;images/300121.jpg;0.392;0.34
306544;https://brickset.com/parts/306544;Brick 1X2 Without Pin;Yellow;Transparent Yellow;FAF15D;images/306544.jpg;0.312;0.34
614323;https://brickset.com/parts/614323;Brick Ø16 W. Cross;Blue;Bright Blue;1E5AA8;images/614323.jpg;0.242;0.34
